No;Pesan;Panjang Pesan;Waktu Enkripsi (ms);Waktu Dekripsi (ms);Waktu menurunkan kunci bersama (ms)
1;Proident pariatur velit veniam qui minim sint reprehenderit sint ut duis aliqua et excepteur. Sit sint fugiat est eu nostrud Lorem proident ipsum ut duis nostrud aliqua dolor reprehenderit.;189;0.047412ms;0.024852ms;2.387314ms
2;Magna eiusmod nisi adipisicing excepteur laborum aliquip ipsum aute eiusmod sunt magna veniam deserunt. Cillum aliquip sunt irure magna sint incididunt.;152;0.009966ms;0.006281ms;2.321412ms
3;In et ex labore nostrud pariatur magna incididunt excepteur esse nostrud incididunt. Tempor proident ex est dolore quis veniam anim sit officia.;144;0.007337ms;0.005727ms;2.310052ms
4;Commodo aliqua quis eiusmod exercitation aliqua do cillum occaecat magna. Fugiat commodo id elit occaecat eiusmod anim est occaecat excepteur labore.;149;0.004337ms;0.003468ms;2.302116ms
5;Quis voluptate duis amet enim eiusmod esse fugiat laborum deserunt quis fugiat pariatur. Nostrud nulla ipsum pariatur ea nostrud amet qui.;138;0.003862ms;0.003062ms;2.294964ms
6;Incididunt ullamco in velit ad ullamco elit et est enim exercitation voluptate. Dolor qui ea voluptate eu laboris excepteur dolor eu in deserunt proident irure do sunt.;168;0.00406ms;0.003733ms;2.282179ms
7;Irure nostrud veniam aute nostrud nisi fugiat et dolore non. Proident incididunt sint nulla reprehenderit Lorem non aliqua nulla voluptate.;139;0.002664ms;0.00276ms;2.295033ms
8;Quis enim magna amet sint. Anim laborum culpa pariatur duis deserunt ea voluptate aliqua dolor voluptate quis sint qui.;119;0.002612ms;0.002054ms;2.285772ms
9;Commodo exercitation mollit ut deserunt dolore labore sit incididunt nisi non commodo sint ullamco. Et veniam ea eiusmod deserunt.;130;0.00327ms;0.002256ms;2.342006ms
10;Elit laboris non exercitation ad aliqua fugiat dolor incididunt nulla qui. Fugiat cupidatat dolor incididunt cillum eiusmod ut consequat ex amet reprehenderit fugiat non.;170;0.002935ms;0.003143ms;2.300366ms
11;Exercitation enim exercitation dolor nostrud in amet. Anim aute ipsum excepteur ut.;83;0.002122ms;0.001756ms;2.272608ms
12;Velit voluptate laborum id reprehenderit do in tempor et reprehenderit. Et occaecat sint ullamco ipsum anim.;108;0.002256ms;0.001852ms;2.279331ms
13;Ea occaecat ullamco enim deserunt sint nulla qui. Enim consequat labore consectetur voluptate consectetur.;106;0.002277ms;0.002183ms;2.281989ms
14;Ex officia elit proident et est pariatur aliqua ex labore elit veniam Lorem aliquip est. Qui irure sunt ullamco dolore velit amet officia elit.;143;0.004081ms;0.002377ms;2.326308ms
15;Lorem pariatur veniam magna sunt mollit culpa occaecat ea non elit irure voluptate cupidatat velit. Eu do exercitation do commodo veniam ut nulla et eiusmod.;157;0.004562ms;0.002543ms;2.318762ms
16;Mollit ea magna ad dolore duis. Dolor nisi quis aliquip aliquip ex commodo veniam mollit anim laboris nisi amet.;112;0.002516ms;0.002006ms;2.267585ms
17;Sit minim sit officia aliqua occaecat Lorem excepteur ea laboris veniam nisi. Adipisicing ea eiusmod cupidatat consequat deserunt sit aute excepteur.;149;0.002795ms;0.002802ms;2.276968ms
18;Exercitation ex exercitation nisi commodo cupidatat amet sit eiusmod aute ad labore sit amet. Voluptate esse nisi est labore dolore nisi adipisicing nulla labore voluptate.;172;0.012872ms;0.003606ms;2.930689ms
19;Voluptate adipisicing cupidatat quis laborum pariatur. Culpa magna excepteur enim laboris enim enim sunt amet occaecat deserunt nostrud ut aliquip.;147;0.004156ms;0.002612ms;2.271337ms
20;Lorem tempor Lorem adipisicing ea eiusmod duis tempor in. Occaecat adipisicing labore aliquip ut Lorem ullamco culpa est magna sit.;131;0.002958ms;0.002406ms;2.263254ms
21;Ut aliqua excepteur consequat amet enim velit aliqua in velit aliqua. Aliquip nostrud voluptate sunt amet fugiat adipisicing dolor cupidatat adipisicing est sit sit deserunt in.;177;0.003614ms;0.003522ms;2.259693ms
22;Exercitation dolore ut cillum nulla magna qui esse reprehenderit. Do sunt est sunt Lorem consectetur incididunt sunt est do nostrud sunt tempor ea.;147;0.003356ms;0.002606ms;2.269593ms
23;Eiusmod adipisicing consequat ea occaecat non. Cillum fugiat non duis ullamco esse nulla.;89;0.002683ms;0.001974ms;2.267527ms
24;Reprehenderit reprehenderit commodo irure sint adipisicing cupidatat laboris. Veniam velit consectetur culpa aliquip ex duis eiusmod elit eiusmod consectetur culpa.;164;0.003089ms;0.002612ms;2.262172ms
25;Anim minim fugiat adipisicing et quis pariatur non ex quis mollit incididunt. Ipsum nisi voluptate deserunt laboris cupidatat deserunt ad eiusmod excepteur reprehenderit.;170;0.003979ms;0.002775ms;2.281666ms
26;Sint eu culpa adipisicing amet amet eu nostrud velit consequat eu deserunt consequat excepteur ullamco. Tempor ea fugiat et minim laborum adipisicing ad sunt eu officia labore culpa reprehenderit nostrud.;204;0.004129ms;0.006445ms;2.25935ms
27;Do nulla eu eu labore. Eiusmod aliquip officia minim sunt.;58;0.001852ms;0.001491ms;2.266308ms
28;Nisi eiusmod esse sint incididunt elit in cupidatat commodo. Excepteur laboris exercitation aliquip laboris minim excepteur aliquip.;132;0.00292ms;0.002374ms;2.265006ms
29;Veniam qui velit velit nisi nulla cupidatat ad esse dolor. Anim excepteur commodo ullamco aliquip enim aute id ullamco incididunt aliquip consectetur cillum excepteur.;167;0.003352ms;0.002595ms;2.263756ms
30;Ut tempor quis nulla eu anim sunt anim eu. Cillum ullamco exercitation tempor minim ut proident nostrud.;104;0.003773ms;0.002216ms;2.272697ms
31;Nulla irure consectetur ipsum dolore veniam et consequat. Incididunt qui consectetur dolore aute.;97;0.002308ms;0.001895ms;2.271577ms
32;Lorem velit exercitation deserunt cillum mollit labore excepteur velit. Veniam nisi ad voluptate pariatur incididunt fugiat incididunt fugiat fugiat exercitation dolore.;169;0.002843ms;0.002485ms;2.259533ms
33;Pariatur tempor ut quis magna veniam. Ex excepteur aliquip sint officia ex.;75;0.002089ms;0.001564ms;2.260706ms
34;Duis Lorem et cillum amet dolore Lorem dolore velit anim. Do fugiat commodo adipisicing minim deserunt officia elit dolore pariatur sunt sint.;142;0.00442ms;0.002679ms;2.359722ms
35;Cupidatat duis veniam commodo magna voluptate officia mollit est exercitation. Sunt veniam elit proident proident magna id ex amet incididunt Lorem pariatur exercitation Lorem.;176;0.003033ms;0.002639ms;2.265977ms
36;Officia sunt occaecat cillum aliqua nisi do consequat ad esse nostrud dolor. Nostrud deserunt officia pariatur amet.;116;0.003293ms;0.00222ms;2.274587ms
37;Sit anim fugiat eiusmod sint voluptate anim id. Proident ea aute ad pariatur qui ea fugiat occaecat laboris ipsum cupidatat ipsum labore mollit.;144;0.003081ms;0.003414ms;2.278993ms
38;Lorem ullamco id quis elit ipsum laborum dolor duis consectetur. Ipsum nisi irure excepteur est Lorem veniam proident irure et.;127;0.002675ms;0.001964ms;2.26985ms
39;Nostrud ullamco in consequat fugiat. Consectetur ea aliqua ut commodo voluptate officia consequat culpa ex incididunt aliqua.;125;0.002506ms;0.001854ms;2.26146ms
40;Laboris mollit non Lorem esse minim dolor consequat ullamco. Labore sit nostrud ea veniam ea.;93;0.005085ms;0.002166ms;2.43232ms
41;Exercitation pariatur fugiat in consequat esse excepteur ad sit ea qui dolor. Nisi mollit eu in duis officia.;109;0.003625ms;0.002112ms;2.284456ms
42;Proident consectetur et nostrud sit officia eu laborum non. Minim exercitation voluptate magna voluptate.;105;0.002606ms;0.001858ms;2.262506ms
43;Eu esse voluptate commodo incididunt ad aliquip. Excepteur nulla non elit voluptate velit non sint voluptate voluptate excepteur.;129;0.002341ms;0.001929ms;2.262904ms
44;Sit non culpa Lorem proident. Nisi qui dolore minim dolore eiusmod reprehenderit aliqua.;88;0.002247ms;0.001581ms;2.265391ms
45;Adipisicing quis nisi nisi fugiat consequat. Exercitation ut fugiat dolore officia.;83;0.002214ms;0.001593ms;2.269691ms
46;Voluptate nisi ullamco adipisicing aliqua est laboris occaecat eu sint. Amet sunt ullamco dolore nisi.;102;0.002147ms;0.001779ms;2.267079ms
47;In labore Lorem aliqua laborum ut fugiat aute mollit id nulla elit ex aliquip. Dolor quis deserunt incididunt voluptate nulla dolore eu laboris qui eiusmod.;156;0.002937ms;0.00216ms;2.273145ms
48;Nulla veniam eiusmod aliqua aliquip incididunt sint qui enim excepteur aliquip enim. Dolore cillum elit veniam aliquip velit eu tempor fugiat voluptate laborum est.;164;0.002806ms;0.00232ms;2.266406ms
49;Aute deserunt proident irure irure labore mollit esse magna. Adipisicing ex ullamco reprehenderit veniam ut.;108;0.002356ms;0.001697ms;2.26532ms
50;Ut eiusmod commodo aliqua duis culpa magna exercitation aliquip aliqua excepteur est. Lorem officia commodo incididunt consectetur ut elit aliquip tempor anim ullamco in labore.;177;0.00275ms;0.005325ms;2.261716ms
51;Magna proident aliquip in sit nisi ex eiusmod excepteur ex commodo in elit sit ullamco. Officia et proident excepteur do velit ullamco consectetur labore labore eu commodo mollit velit.;185;0.003308ms;0.002733ms;2.280745ms
52;Veniam tempor tempor ex incididunt reprehenderit excepteur proident ullamco consectetur occaecat. Pariatur ad deserunt exercitation adipisicing amet laborum voluptate pariatur.;176;0.004329ms;0.002445ms;2.280354ms
53;Elit pariatur dolore ut non. Excepteur commodo non exercitation proident aute veniam nulla esse in.;99;0.003158ms;0.00166ms;2.270929ms
54;Minim est qui ut irure aute ullamco quis eu voluptate aliquip pariatur ipsum minim. Deserunt excepteur deserunt ad minim nulla duis anim.;137;0.002752ms;0.00206ms;2.308175ms
55;Sint deserunt ullamco non elit anim officia elit reprehenderit. Velit ullamco veniam in id duis incididunt pariatur magna minim proident.;137;0.003018ms;0.001895ms;2.27346ms
56;Anim eiusmod laboris eu ad voluptate dolore irure qui ad. Dolor id duis et quis fugiat ullamco officia aliqua ullamco.;118;0.002535ms;0.001766ms;2.261781ms
57;Qui nulla mollit pariatur ullamco quis mollit nulla voluptate dolor id nisi ex esse nostrud. Laborum nulla dolore aliqua eiusmod magna reprehenderit ullamco enim voluptate.;172;0.00247ms;0.002172ms;2.260358ms
58;Exercitation cupidatat consequat duis ullamco aliqua eu ut aliqua culpa elit nulla. Magna incididunt aliqua ea occaecat.;120;0.002372ms;0.001816ms;2.277789ms
59;Eu irure magna velit culpa cupidatat ullamco duis fugiat Lorem aliquip excepteur adipisicing duis. Occaecat culpa pariatur est laborum aute consectetur cupidatat cupidatat exercitation consequat laboris Lorem.;209;0.0029ms;0.002556ms;2.263629ms
60;Aute anim consectetur ipsum consequat irure. Cillum ullamco tempor Lorem veniam pariatur aute aliquip ullamco.;110;0.00212ms;0.00167ms;2.268687ms
61;Sit esse ullamco occaecat ut aute fugiat elit enim. Occaecat adipisicing officia voluptate ea dolor ipsum laboris culpa.;120;0.002195ms;0.00177ms;2.263233ms
62;Aliqua cupidatat aliqua ipsum esse quis sint cupidatat magna ullamco irure aliquip tempor nisi. Consequat excepteur mollit non elit ut est aute proident dolore commodo minim laborum exercitation.;195;0.002993ms;0.002531ms;2.27121ms
63;Duis culpa Lorem cupidatat eiusmod aliqua nisi sunt quis deserunt nulla sint nisi ipsum dolore. Incididunt incididunt laboris velit non esse velit sunt Lorem.;158;0.002431ms;0.002066ms;2.274675ms
64;Veniam adipisicing reprehenderit aliquip voluptate esse consectetur. Cillum anim consequat do amet nulla adipisicing minim aliquip.;131;0.00245ms;0.001889ms;2.259268ms
65;Ad aliquip culpa incididunt eu officia ullamco aliquip voluptate. Officia quis irure tempor nostrud magna non.;110;0.00231ms;0.001635ms;2.257783ms
66;Exercitation sunt reprehenderit non esse ullamco dolore voluptate ea culpa ex elit dolor voluptate occaecat. Tempor deserunt veniam est duis irure ex commodo nostrud mollit.;173;0.003429ms;0.002385ms;2.269431ms
67;Lorem adipisicing irure fugiat irure reprehenderit do eu ipsum. Duis pariatur eiusmod aute nisi exercitation nulla labore esse nulla ex in.;139;0.00251ms;0.00191ms;2.261931ms
68;Sint qui esse sit labore veniam mollit fugiat incididunt. Duis deserunt amet culpa ex qui eu nisi elit nulla labore.;116;0.003493ms;0.002156ms;2.303891ms
69;Lorem enim aute anim mollit incididunt laboris exercitation sunt dolore sit enim eiusmod. Occaecat ad est cupidatat voluptate ad laboris in aute nisi incididunt ipsum minim cupidatat reprehenderit.;197;0.003612ms;0.002562ms;2.265814ms
70;Quis sunt eu cupidatat fugiat et eu sit laboris ad reprehenderit ipsum aute ex Lorem. Eiusmod adipisicing mollit ea deserunt amet magna deserunt reprehenderit proident et aliquip.;179;0.002602ms;0.002279ms;2.251814ms
71;Quis id esse nostrud ad est voluptate aliquip adipisicing occaecat. Nostrud Lorem ut laboris laborum minim voluptate.;117;0.002095ms;0.001795ms;2.250945ms
72;Do consectetur sint velit incididunt incididunt in nulla id quis. Deserunt minim tempor deserunt anim excepteur ea aliqua.;122;0.002147ms;0.001795ms;2.249799ms
73;Labore enim officia eu reprehenderit id fugiat cupidatat ipsum. Do veniam nostrud in occaecat.;94;0.002068ms;0.001664ms;2.255116ms
74;Quis nulla quis id id esse et duis fugiat fugiat consequat ipsum laborum aute. Eiusmod mollit ex esse in anim occaecat ut occaecat do deserunt eiusmod do sunt.;159;0.002458ms;0.002135ms;2.334764ms
75;Enim adipisicing qui laboris do ex reprehenderit dolore pariatur commodo laborum. Amet proident eu incididunt aute.;115;0.002225ms;0.001797ms;2.293999ms
76;Est incididunt fugiat occaecat magna aute commodo non. Magna sit sint laboris in.;81;0.001975ms;0.001564ms;2.26452ms
77;Non esse excepteur ut sit culpa culpa in non reprehenderit. Non pariatur Lorem fugiat consectetur est est laboris reprehenderit cupidatat.;138;0.002231ms;0.001949ms;2.287837ms
78;Elit esse eiusmod ullamco ipsum ad irure dolore consectetur fugiat commodo. Aute reprehenderit deserunt qui sunt anim ut ut.;124;0.002387ms;0.001943ms;2.346435ms
79;Mollit cupidatat eiusmod excepteur et. Nisi sit nostrud sunt adipisicing non tempor qui.;88;0.001972ms;0.001556ms;2.263383ms
80;Irure ea excepteur magna ut proident minim occaecat veniam ut quis. Amet est ea eu est ut anim irure ut do.;107;0.002079ms;0.001762ms;2.26926ms
81;Cupidatat labore aliquip ipsum Lorem reprehenderit do mollit magna elit. Velit Lorem deserunt ad minim.;103;0.002231ms;0.001722ms;2.285689ms
82;Ea minim veniam aute consectetur labore. Occaecat cupidatat incididunt ut qui anim Lorem do aute dolor aute in velit.;117;0.00707ms;0.002408ms;2.47825ms
83;Ad ut amet amet nisi nostrud consectetur et tempor dolor ex. Labore deserunt labore laboris reprehenderit adipisicing aliquip eu est minim ea dolore reprehenderit Lorem.;169;0.003902ms;0.002431ms;2.298137ms
84;Non cillum enim sunt consectetur nisi culpa nostrud ad. Consectetur aliqua deserunt velit id magna deserunt mollit ex eiusmod reprehenderit id excepteur.;153;0.0026ms;0.002083ms;2.258175ms
85;Exercitation elit sint Lorem ullamco laborum tempor ipsum officia ea qui qui excepteur. Dolore duis magna ex ad sit ut.;119;0.002308ms;0.001797ms;2.250743ms
86;Proident incididunt esse occaecat Lorem reprehenderit irure consectetur ex ipsum sunt ad proident labore ullamco. Quis ipsum in nisi qui culpa cupidatat dolor sit exercitation aliqua Lorem eiusmod nostrud cillum.;212;0.003499ms;0.002658ms;2.316608ms
87;Consectetur proident veniam consequat quis ipsum in nulla eiusmod do. Exercitation ea qui incididunt anim dolore ex laboris pariatur excepteur ea culpa occaecat ex.;164;0.002639ms;0.002404ms;2.254893ms
88;Officia id excepteur eiusmod velit cillum. Sint nostrud non ad labore non veniam labore ipsum.;94;0.001895ms;0.001514ms;2.248289ms
89;Ut sint fugiat nostrud sit ad aute ipsum aliquip dolore qui sunt. Culpa sint deserunt culpa mollit do ad incididunt adipisicing in.;131;0.002327ms;0.001902ms;2.248477ms
